"stream","reach","quadrat","shrub","fruit_number","fruit_quality","fruit_count","weight","brix_value","total_seed_count","relative_soil_moisture","relative_moisture_scaled","stem_density","stem_density_scaled","canopy_cover","canopy_cover_scaled","distance_upstream","distance_upstream_scaled","distance_from_stream","distance_from_stream_scaled","salmon_density","salmon_density_scaled","chum_density","chum_density_scaled","pink_density","pink_density_scaled","northness","northness_scaled","eastness","eastness_scaled"
"goatbushu",3,"D","3-D",2,"R",7,1.109,7,65,7.1,-0.547753286947447,5,0.0994405878040263,89,0.408639649034367,118,-0.215685568762715,1.2,-0.294957969728126,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,0.17364817766693,0.206501349305798,0.984807753012208,1.37468296205135
"goatbushu",3,"D","3-D",3,"R",7,0.951,4.3,76,7.1,-0.547753286947447,5,0.0994405878040263,89,0.408639649034367,118,-0.215685568762715,1.2,-0.294957969728126,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,0.17364817766693,0.206501349305798,0.984807753012208,1.37468296205135
"goatbushu",3,"D","3-D",4,"M",7,1.504,0.6,77,7.1,-0.547753286947447,5,0.0994405878040263,89,0.408639649034367,118,-0.215685568762715,1.2,-0.294957969728126,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,0.17364817766693,0.206501349305798,0.984807753012208,1.37468296205135
"goatbushu",4,"B","4-B",1,"R",1,0.864,5.5,34,29.3,0.904512652706007,5,0.0994405878040263,87,0.178734374681501,141,-0.0186680513223196,0.9,-0.446267577575671,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,-0.390731128489274,-0.639867746059386,0.92050485345244,1.28834057296651
"goatbushu",4,"D","4-D",1,"R",1,0.972,6.2,52,21.6,0.400798790754133,4,-0.280679078479107,88,0.293687011857934,147,0.0327278227925662,1.2,-0.294957969728126,4.593958333,-0.680113882754187,1.43375,-1.00433474049891,3.160208333,0.347140865341531,-0.258819045102521,-0.442046335058037,0.965925826289068,1.34932935163934
"hooknose",1,"B","1-B",3,"R",8,1.518,9.7,48,83.7,4.46321837870366,1,-1.42103807732851,90,0.5235922862108,58,-0.729644309911574,0.5,-0.648013721372398,1.926490741,-0.990444071985076,1.426574074,-1.00540846074954,0.499916667,-0.718963883099082,-0.529919264233205,-0.848600658925175,0.848048096156426,1.19104963316273
"hooknose",1,"B","1-B",4,"R",8,1.107,10.2,35,83.7,4.46321837870366,1,-1.42103807732851,90,0.5235922862108,58,-0.729644309911574,0.5,-0.648013721372398,1.926490741,-0.990444071985076,1.426574074,-1.00540846074954,0.499916667,-0.718963883099082,-0.529919264233205,-0.848600658925175,0.848048096156426,1.19104963316273
"hooknose",1,"B","1-B",1,"R",8,1.226,10.3,47,83.7,4.46321837870366,1,-1.42103807732851,90,0.5235922862108,58,-0.729644309911574,0.5,-0.648013721372398,1.926490741,-0.990444071985076,1.426574074,-1.00540846074954,0.499916667,-0.718963883099082,-0.529919264233205,-0.848600658925175,0.848048096156426,1.19104963316273
"hooknose",1,"B","1-B",2,"R",8,1.105,9.5,52,83.7,4.46321837870366,1,-1.42103807732851,90,0.5235922862108,58,-0.729644309911574,0.5,-0.648013721372398,1.926490741,-0.990444071985076,1.426574074,-1.00540846074954,0.499916667,-0.718963883099082,-0.529919264233205,-0.848600658925175,0.848048096156426,1.19104963316273
"hooknose",1,"C","1-C",3,"R",27,1.381,6.8,36,10.1,-0.351501132940223,2,-1.04091841104537,83,-0.281076174024231,57,-0.738210288930721,0.5,-0.648013721372398,1.926490741,-0.990444071985076,1.426574074,-1.00540846074954,0.499916667,-0.718963883099082,0.743144825477394,1.06054464494613,-0.669130606358858,-0.846134300075723
"hooknose",1,"C","1-C",4,"R",27,1.301,3.4,41,10.1,-0.351501132940223,2,-1.04091841104537,83,-0.281076174024231,57,-0.738210288930721,0.5,-0.648013721372398,1.926490741,-0.990444071985076,1.426574074,-1.00540846074954,0.499916667,-0.718963883099082,0.743144825477394,1.06054464494613,-0.669130606358858,-0.846134300075723
"hooknose",1,"C","1-C",5,"R",27,1.109,6.8,39,10.1,-0.351501132940223,2,-1.04091841104537,83,-0.281076174024231,57,-0.738210288930721,0.5,-0.648013721372398,1.926490741,-0.990444071985076,1.426574074,-1.00540846074954,0.499916667,-0.718963883099082,0.743144825477394,1.06054464494613,-0.669130606358858,-0.846134300075723
"hooknose",1,"C","1-C",1,"R",27,1.139,5,39,10.1,-0.351501132940223,2,-1.04091841104537,83,-0.281076174024231,57,-0.738210288930721,0.5,-0.648013721372398,1.926490741,-0.990444071985076,1.426574074,-1.00540846074954,0.499916667,-0.718963883099082,0.743144825477394,1.06054464494613,-0.669130606358858,-0.846134300075723
"hooknose",1,"C","1-C",2,"R",27,1.265,4.6,41,10.1,-0.351501132940223,2,-1.04091841104537,83,-0.281076174024231,57,-0.738210288930721,0.5,-0.648013721372398,1.926490741,-0.990444071985076,1.426574074,-1.00540846074954,0.499916667,-0.718963883099082,0.743144825477394,1.06054464494613,-0.669130606358858,-0.846134300075723
"hooknose",1,"D","1-D",1,"R",11,1.476,7.4,39,-1.4,-1.10380105663458,3,-0.660798744762239,88,0.293687011857934,84,-0.506928855413735,0.5,-0.648013721372398,1.926490741,-0.990444071985076,1.426574074,-1.00540846074954,0.499916667,-0.718963883099082,-0.642787609686539,-1.01786320699292,0.766044443118978,1.08093964799236
"hooknose",1,"D","1-D",2,"R",11,1.29,10.5,49,-1.4,-1.10380105663458,3,-0.660798744762239,88,0.293687011857934,84,-0.506928855413735,0.5,-0.648013721372398,1.926490741,-0.990444071985076,1.426574074,-1.00540846074954,0.499916667,-0.718963883099082,-0.642787609686539,-1.01786320699292,0.766044443118978,1.08093964799236
